Here are the results for Channel 1 (nasal): time - pitch(Hz) - Amplitude(dB) - RMSqIntensity(Pa)
0.01 --undefined-- --undefined-- --undefined--
0.21 195.229 47.682 0.004843002136930666
0.22 201.987 52.004 0.007965539474900588
0.23 191.119 54.031 0.010060017318494433
0.24 191.292 54.407 0.010505033392642141
0.25 192.601 54.528 0.010651940972797884
0.26 193.994 54.871 0.011080411985468169
0.27 196.775 55.419 0.011802440724160316
0.28 200.128 56.109 0.012778762777904122
0.29 201.289 56.321 0.013094460634451513
0.30 199.924 54.960 0.011195475818425992
0.31 205.302 51.931 0.007898891084147689
0.32 207.553 49.868 0.006229311006592161
0.33 208.039 49.727 0.0061286607364867485
0.34 208.368 49.848 0.006215178125882419
0.35 208.938 50.008 0.006330599465314873
0.36 209.732 50.437 0.006650554933445063
0.37 210.926 52.295 0.00823693242498652
0.38 213.993 55.638 0.012104416326153722
0.39 210.472 57.635 0.015233351624741365
0.40 208.409 57.770 0.01547068667520745
0.41 207.692 57.301 0.014658357436800983
0.42 206.927 57.076 0.014283908368179957
0.43 206.079 57.051 0.014242532791350408
0.44 205.422 57.155 0.014413834868331709
0.45 204.712 57.252 0.014574977498238672
0.46 202.746 56.866 0.013942738270318727
0.47 199.427 55.150 0.01144210794884916
0.48 195.556 51.540 0.0075516685353606925
0.49 199.796 47.400 0.004688649250403722
0.50 197.488 45.392 0.003720905519372554
0.51 193.569 44.360 0.0033040340209730193
0.52 190.697 43.585 0.003021749184129507
0.53 187.679 43.894 0.0031314235515013276
0.54 189.950 47.577 0.004785092192550884
0.55 183.394 51.676 0.00767036514074596
0.56 90.401 53.715 0.009700662948631533
0.57 89.134 54.094 0.010133332718534128
0.58 88.340 53.934 0.009948191881783709
0.59 88.278 53.989 0.01001131102675445
0.60 88.765 54.210 0.010269153967589782
0.61 89.701 54.186 0.010240213560687573
0.62 --undefined-- 53.761 0.009752115568892225
0.63 184.044 53.195 0.00913701103635072
0.64 184.714 52.483 0.00841780872963317
0.65 183.714 50.830 0.006958344704879344
0.66 179.915 47.211 0.00458761701471899
0.67 167.564 40.818 0.0021974723284906347
0.68 --undefined-- 31.424 0.0007451501414111734
0.69 --undefined-- 22.537 0.0002678477562205421
0.70 --undefined-- 20.867 0.00022099963382247746
0.71 --undefined-- 23.783 0.00030915668783921
0.72 --undefined-- 25.526 0.00037786060305931276
0.73 --undefined-- 25.294 0.0003679018770662026
0.74 --undefined-- 26.819 0.00043850719370944435
0.75 --undefined-- 29.342 0.0005863090592703806
0.76 --undefined-- 30.462 0.0006670076496143953
0.77 --undefined-- 34.637 0.001078633266140202
0.78 --undefined-- 43.932 0.0031450529503615106
0.79 --undefined-- 49.819 0.006194062018873572
0.80 190.839 52.349 0.008288522009439173
0.81 187.920 52.625 0.008555959259794419
0.82 183.731 51.703 0.007694463853337162
0.83 179.603 49.776 0.006163511594188955
0.84 172.854 46.440 0.004197872920960092
0.85 176.727 42.575 0.002690223108793874
0.86 178.953 40.681 0.0021630058202819448
0.87 177.811 40.476 0.0021127260161206965
0.88 177.077 40.530 0.0021258784424790186
0.89 176.501 40.584 0.002139203222810187
0.90 175.362 41.015 0.002247974407302135
0.91 175.863 43.004 0.0028264615190519175
0.92 173.560 45.897 0.003943265337085937
0.93 173.176 47.957 0.004998757073356082
0.94 173.114 48.897 0.0055703414366593965
0.95 172.660 48.914 0.0055814052010679455
0.96 171.107 48.767 0.005487575213081463
0.97 168.998 49.138 0.0057269258346597015
0.98 168.103 49.636 0.006064710821421118
0.99 168.025 49.996 0.006321938413402842
1.00 167.883 50.192 0.0064660705242847736
1.01 166.973 49.766 0.006156659765974047
1.02 164.972 47.806 0.00491274525866818
1.03 165.426 44.052 0.0031888231290339466
1.04 171.161 40.940 0.002228696241376857
1.05 170.747 40.519 0.00212304835693798
1.06 168.477 40.586 0.0021395855748808823
1.07 166.884 40.523 0.002124007029748248
1.08 166.749 40.923 0.002224237294343632
1.09 169.127 43.336 0.0029363961260576703
1.10 173.733 46.727 0.004338725111628572
1.11 169.231 48.486 0.005313166061801734
1.12 168.374 48.712 0.005453142414387772
1.13 168.297 48.439 0.00528408213001159
1.14 167.663 47.987 0.005016125102197316
1.15 166.483 47.046 0.0045012013319388824
1.16 164.694 45.109 0.003601415274109175
1.17 162.383 42.225 0.0025839577407582625
1.18 166.360 40.328 0.0020769200344970744
1.19 167.359 39.939 0.001986019716145328
1.20 166.761 39.504 0.0018890619890633367
1.21 165.235 38.688 0.0017196008403769093
1.22 162.098 37.369 0.0014773373700573186
1.23 159.006 35.299 0.0011640905539627407
1.24 155.668 32.461 0.0008396530415088824
1.25 --undefined-- 29.703 0.0006111704563518808
1.26 --undefined-- 28.905 0.0005575529725101769
1.27 --undefined-- 32.076 0.0008031715635243135
1.28 --undefined-- 35.269 0.0011600536512580354
1.29 --undefined-- 43.280 0.0029176634639584077
1.30 --undefined-- 49.504 0.005973610845910994
1.31 --undefined-- 51.901 0.007871485389076324
1.32 --undefined-- 51.894 0.007865499259681353
1.33 --undefined-- 51.432 0.007458184985003406
1.34 --undefined-- 51.059 0.007144932723056974
1.35 --undefined-- 50.518 0.006712884581122726
1.36 --undefined-- 49.178 0.005753581623504229
1.37 --undefined-- 47.525 0.004756251798200076
1.38 --undefined-- 45.855 0.003924590882925999
1.39 --undefined-- 44.268 0.0032689418480641897
1.40 --undefined-- 42.645 0.002711854093547656
1.41 --undefined-- 41.379 0.002344145161293028
1.42 --undefined-- 40.985 0.0022401632330807295
1.43 --undefined-- 38.941 0.0017705126316721917
1.44 --undefined-- 38.071 0.0016016439649659618
1.45 --undefined-- 38.734 0.0017287700326456005
1.46 --undefined-- 38.693 0.0017205924712506262
1.47 --undefined-- 38.099 0.0016068457425324298
1.48 --undefined-- 36.301 0.0013064749433172797
1.49 204.083 37.011 0.001417663419369553
1.50 200.704 38.489 0.0016807264999688528
1.51 --undefined-- 37.391 0.0014811379255488567
1.52 --undefined-- 36.805 0.0013844483553203427
1.53 --undefined-- 36.294 0.001305402081014575
1.54 --undefined-- 33.256 0.000920140346715704
1.55 209.398 32.701 0.0008630945974113439
1.56 193.029 33.559 0.0009527874825516534
1.57 182.468 33.012 0.0008945707340943791
1.58 187.254 32.792 0.0008722195023978392
1.59 186.579 32.682 0.0008612836790047894
1.60 --undefined-- 32.146 0.0008097375724416881
1.61 --undefined-- 30.867 0.0006988434581766951
1.62 --undefined-- 28.284 0.0005191029708171241
1.63 --undefined-- 24.803 0.0003476812433554122
1.64 --undefined-- 21.505 0.000237825826010908
1.65 --undefined-- 18.913 0.00017646902793789007
1.66 --undefined-- 17.112 0.00014341896903906517
1.67 --undefined-- 16.180 0.0001288353961949718
1.68 --undefined-- 16.346 0.00013132337358352588
1.69 --undefined-- 16.477 0.00013331557587209752
1.70 --undefined-- 16.246 0.00012980935250249656
1.71 --undefined-- 16.205 0.00012921244939519347
1.72 --undefined-- 16.209 0.00012926709130871763
1.73 --undefined-- 15.858 0.00012414862252490964
1.74 --undefined-- 16.098 0.0001276165186341148
1.75 --undefined-- 16.216 0.00012937466658127322
1.76 --undefined-- 15.276 0.00011610055731804661
1.77 --undefined-- 15.903 0.0001247874306919123
1.78 --undefined-- 16.938 0.0001405882082245093
1.79 --undefined-- 16.505 0.0001337443915737153
1.80 --undefined-- 15.987 0.00012599553819070774
1.81 --undefined-- 16.220 0.00012943430951349594
1.82 --undefined-- 16.639 0.00013582511551590932
1.83 --undefined-- 16.929 0.00014043417376731734
1.84 --undefined-- 15.988 0.00012601305467106668
1.85 --undefined-- 13.756 9.746544738427155e-005
1.86 --undefined-- 12.831 8.761330567196116e-005
