Here	are	the	results	for	Channel	1	(nasal):	time	-	pitch(Hz)	-	Amplitude(dB)	-	RMSqIntensity(Pa)
4.06	--undefined--	63.36	0.029447703		4.06	--undefined--	79.712	0.193477762		0.867903369				
4.07	143.59	63.918	0.031398828		4.07	144.54	80.718	0.217242429		0.873718349				
4.08	144.358	66.044	0.040107867		4.08	144.048	81.38	0.234448543		0.853917572				
4.09	148.17	71.568	0.07576171		4.09	143.774	81.501	0.237735514		0.758333712				
4.1	147.598	76.366	0.1316228		4.1	147.405	80.973	0.22370515		0.629573751				
4.11	143.345	78.851	0.175214093		4.11	144.27	80.033	0.200756772		0.533968961				
4.12	142.899	79.545	0.18979381		4.12	142.843	79.057	0.179420615		0.485952343				
4.13	142.627	79.368	0.185968134		4.13	142.617	78.165	0.161915881		0.465430643				
4.14	142.2	79.013	0.17850877		4.14	142.198	77.572	0.151219086		0.458617868				
4.15	142.072	78.789	0.173979128		4.15	141.999	77.285	0.146310402		0.456806696				
4.16	142.241	78.714	0.172472451		4.16	142.173	77.158	0.144186225		0.455336411				
